,user_id,item_id,term,length_of_stay_bucket,rate_plan,room_segment,n_people_bucket,weekend_stay,length_of_stay,n_people,night_price
0,1,0,WinterVacation,[2-3],Standard,[260-360],[5-inf],True,3,5,330.76
1,2,1,WinterVacation,[2-3],Standard,[160-260],[3-4],True,3,4,231.13
2,3,2,WinterVacation,[2-3],Standard,[160-260],[2-2],False,2,2,183.4
3,4,3,WinterVacation,[4-7],Standard,[0-160],[3-4],True,7,4,152.09
4,5,4,WinterVacation,[4-7],Standard,[0-160],[2-2],True,5,2,142.6
5,6,5,Easter,[4-7],Standard,[160-260],[5-inf],True,4,5,200.0
6,7,6,OffSeason,[2-3],Standard,[160-260],[5-inf],True,2,5,201.0
7,8,7,HighSeason,[2-3],Standard,[160-260],[1-1],True,3,1,220.0
8,9,8,HighSeason,[2-3],Standard,[0-160],[1-1],True,2,1,160.0
9,8,7,HighSeason,[2-3],Standard,[160-260],[1-1],True,3,1,240.0
10,8,8,HighSeason,[2-3],Standard,[0-160],[1-1],True,3,1,160.0
11,10,9,HighSeason,[2-3],Standard,[260-360],[3-4],True,2,3,297.99
12,11,9,HighSeason,[2-3],Standard,[260-360],[3-4],True,3,4,305.0
13,12,10,HighSeason,[8-inf],Standard,[360-500],[3-4],True,9,3,397.71
14,14,11,HighSeason,[2-3],Standard,[0-160],[3-4],True,3,4,0.0
15,15,12,LowSeason,[2-3],Standard,[260-360],[5-inf],True,2,6,320.0
16,16,13,LowSeason,[4-7],Standard,[160-260],[3-4],True,4,3,198.25
17,17,14,LowSeason,[4-7],Standard,[0-160],[3-4],True,7,4,0.0
18,18,15,LowSeason,[8-inf],Standard,[260-360],[3-4],True,9,3,330.0
19,19,16,OffSeason,[4-7],Standard,[260-360],[3-4],True,6,4,299.87
20,20,17,OffSeason,[8-inf],Standard,[360-500],[5-inf],True,15,6,392.75
21,21,18,OffSeason,[4-7],Standard,[360-500],[5-inf],True,5,7,434.48
22,13,19,OffSeason,[4-7],Standard,[0-160],[1-1],True,4,1,0.0
23,23,20,OffSeason,[2-3],Standard,[160-260],[1-1],True,2,1,240.0
24,13,21,OffSeason,[8-inf],Standard,[0-160],[1-1],True,9,1,0.0
25,13,22,OffSeason,[2-3],Standard,[0-160],[1-1],False,3,1,0.0
26,25,23,MayLongWeekend,[4-7],Standard,[260-360],[3-4],True,6,3,350.0
27,26,24,MayLongWeekend,[2-3],Standard,[260-360],[1-1],True,3,1,316.67
28,27,25,OffSeason,[2-3],Standard,[0-160],[5-inf],False,2,5,146.5
29,28,26,OffSeason,[2-3],Standard,[0-160],[2-2],False,3,2,115.44
30,29,26,OffSeason,[2-3],Standard,[0-160],[2-2],False,3,2,134.86
31,30,27,OffSeason,[2-3],Standard,[0-160],[2-2],True,3,2,0.0
32,31,28,OffSeason,[2-3],Standard,[0-160],[3-4],True,2,3,130.0
33,32,28,OffSeason,[2-3],Standard,[0-160],[3-4],True,2,4,140.0
34,13,29,OffSeason,[2-3],Standard,[0-160],[1-1],True,3,1,0.0
35,33,30,OffSeason,[4-7],Standard,[0-160],[2-2],True,5,2,100.0
36,34,30,OffSeason,[4-7],Standard,[0-160],[2-2],True,7,2,157.69
37,35,31,OffSeason,[2-3],Standard,[160-260],[3-4],True,3,4,258.4
38,36,32,OffSeason,[4-7],Standard,[160-260],[2-2],False,4,2,191.4
39,37,30,OffSeason,[4-7],Standard,[0-160],[2-2],True,4,2,116.1
40,38,33,Easter,[2-3],Standard,[0-160],[3-4],True,3,3,100.11
41,39,34,Easter,[4-7],Standard,[0-160],[3-4],True,4,4,0.0
42,40,35,Easter,[4-7],Standard,[160-260],[3-4],True,4,3,200.0
43,41,36,OffSeason,[4-7],Standard,[0-160],[3-4],False,4,4,98.76
44,42,36,OffSeason,[4-7],Standard,[0-160],[3-4],False,4,4,103.95
45,43,37,OffSeason,[4-7],Standard,[0-160],[2-2],False,4,2,94.36
46,44,26,OffSeason,[2-3],Standard,[0-160],[2-2],False,2,2,97.29
47,45,38,OffSeason,[4-7],Standard,[160-260],[3-4],False,4,4,190.19
48,46,39,OffSeason,[8-inf],Standard,[0-160],[2-2],True,10,2,133.13
49,47,30,OffSeason,[4-7],Standard,[0-160],[2-2],True,6,2,120.14
